time,O2,heart rate,motion,02reminder,pulsereminder
0,98,82,0,0,0
4,98,82,0,0,0
8,98,82,3,0,0
12,98,82,5,0,0
16,98,82,13,0,0
20,98,82,3,0,0
24,98,82,2,0,0
28,98,82,1,0,0
32,98,82,0,0,0
36,98,82,0,0,0
40,98,82,3,0,0
44,98,82,2,0,0
48,98,82,0,0,0
52,98,82,3,0,0
56,98,82,1,0,0
60,98,82,5,0,0
64,98,82,1,0,0
68,98,82,8,0,0
72,98,82,3,0,0
76,98,82,5,0,0
80,98,82,1,0,0
84,255,nan,0,0,0
88,255,nan,20,0,0
92,255,nan,32,0,0
96,255,nan,34,0,0
100,255,nan,7,0,0
104,255,nan,15,0,0
108,255,nan,5,0,0
112,255,nan,1,0,0
116,255,nan,5,0,0
120,255,nan,15,0,0
124,255,nan,9,0,0
128,255,nan,23,0,0
132,255,nan,5,0,0
136,255,nan,0,0,0
140,255,nan,4,0,0
144,255,nan,0,0,0
148,255,nan,18,0,0
152,255,nan,8,0,0
156,255,nan,1,0,0
160,255,nan,5,0,0
164,255,nan,6,0,0
168,255,nan,9,0,0
172,255,nan,25,0,0
176,255,nan,6,0,0
180,255,nan,8,0,0
184,255,nan,15,0,0
188,255,nan,17,0,0
192,255,nan,17,0,0
196,255,nan,26,0,0
200,255,nan,13,0,0
204,255,nan,9,0,0
208,255,nan,31,0,0
212,255,nan,33,0,0
216,255,nan,3,0,0
220,255,nan,0,0,0
224,255,nan,0,0,0
228,99,nan,0,0,0
232,98,99,0,0,0
236,98,99,0,0,0
240,98,99,0,0,0
244,96,90,0,0,0
248,96,84,0,0,0
252,96,84,5,0,0
256,96,84,31,0,0
260,96,84,4,0,0
264,96,84,1,0,0
268,96,84,5,0,0
272,96,84,6,0,0
276,96,84,1,0,0
280,96,84,0,0,0
284,96,84,0,0,0
288,96,84,6,0,0
292,96,84,13,0,0
296,96,84,19,0,0
300,96,84,0,0,0
304,96,84,5,0,0
308,96,84,5,0,0
312,96,84,6,0,0
316,96,84,1,0,0
320,96,84,21,0,0
324,96,84,1,0,0
328,96,84,0,0,0
332,96,86,0,0,0
336,96,86,9,0,0
340,96,86,0,0,0
344,96,86,0,0,0
348,96,86,1,0,0
352,96,86,8,0,0
356,96,86,0,0,0
360,96,86,1,0,0
364,96,86,3,0,0
368,96,86,3,0,0
372,96,86,0,0,0
376,96,86,0,0,0
380,96,86,0,0,0
384,98,84,0,0,0
388,98,87,0,0,0
392,98,84,7,0,0
396,98,84,0,0,0
400,98,84,3,0,0
404,98,84,2,0,0
408,98,84,6,0,0
412,98,84,3,0,0
416,98,84,1,0,0
420,98,84,4,0,0
424,98,84,14,0,0
428,98,84,0,0,0
432,98,84,2,0,0
436,98,84,5,0,0
440,98,84,17,0,0
444,98,84,40,0,0
448,98,84,5,0,0
452,98,84,2,0,0
456,98,84,0,0,0
460,98,84,3,0,0
464,98,84,1,0,0
468,98,84,3,0,0
472,98,84,9,0,0
476,98,84,1,0,0
480,98,84,8,0,0
484,98,84,7,0,0
488,98,84,5,0,0
492,98,84,25,0,0
496,98,84,15,0,0
500,98,84,7,0,0
504,98,84,7,0,0
508,98,84,1,0,0
512,98,84,23,0,0
516,98,84,5,0,0
520,98,84,4,0,0
524,98,84,1,0,0
528,98,84,14,0,0
532,98,84,6,0,0
536,98,84,5,0,0
540,98,84,1,0,0
544,98,84,4,0,0
548,98,84,3,0,0
552,98,84,15,0,0
556,98,84,3,0,0
560,98,84,3,0,0
564,98,84,7,0,0
568,98,84,15,0,0
572,98,84,9,0,0
576,98,84,1,0,0
580,97,84,7,0,0
584,97,84,6,0,0
588,97,84,18,0,0
592,97,84,29,0,0
596,97,84,9,0,0
600,97,84,11,0,0
604,97,84,15,0,0
608,97,84,49,0,0
612,97,84,2,0,0
616,95,89,0,0,0
620,95,89,0,0,0
624,94,91,0,0,0
628,94,90,0,0,0
632,94,90,11,0,0
636,94,90,14,0,0
640,94,90,53,0,0
644,94,90,20,0,0
648,94,90,17,0,0
652,94,90,37,0,0
656,94,90,18,0,0
660,94,90,6,0,0
664,94,90,29,0,0
668,94,90,20,0,0
672,94,90,18,0,0
676,94,90,5,0,0
680,94,90,0,0,0
684,94,90,12,0,0
688,94,90,26,0,0
692,94,90,0,0,0
696,94,90,4,0,0
700,94,90,7,0,0
704,94,90,41,0,0
708,94,90,87,0,0
712,94,90,56,0,0
716,94,90,10,0,0
720,94,90,11,0,0
724,94,90,124,0,0
728,94,90,11,0,0
732,94,90,39,0,0
736,94,90,7,0,0
740,94,90,0,0,0
744,94,90,90,0,0
748,94,90,37,0,0
752,94,90,74,0,0
756,255,nan,18,0,0
760,255,nan,63,0,0
764,255,nan,13,0,0
768,255,nan,0,0,0
772,255,nan,4,0,0
776,255,nan,55,0,0
780,255,nan,4,0,0
784,255,nan,29,0,0
788,255,nan,26,0,0
792,255,nan,1,0,0
796,255,nan,2,0,0
800,255,nan,7,0,0
804,255,nan,1,0,0
808,255,nan,4,0,0
812,255,nan,4,0,0
816,255,nan,0,0,0
820,255,nan,5,0,0
824,255,nan,7,0,0
828,255,nan,16,0,0
832,255,nan,98,0,0
836,255,nan,24,0,0
840,255,nan,41,0,0
844,255,nan,13,0,0
848,255,nan,2,0,0
852,255,nan,16,0,0
856,255,nan,15,0,0
860,255,nan,12,0,0
864,255,nan,79,0,0
868,255,nan,25,0,0
872,255,nan,39,0,0
876,255,nan,17,0,0
880,255,nan,17,0,0
884,255,nan,22,0,0
888,255,nan,16,0,0
892,255,nan,3,0,0
896,255,nan,10,0,0
900,255,nan,10,0,0
904,255,nan,2,0,0
908,255,nan,17,0,0
912,255,nan,0,0,0
916,255,nan,0,0,0
920,99,94,0,0,0
924,98,91,0,0,0
928,98,92,0,0,0
932,99,91,0,0,0
936,99,91,0,0,0
940,99,92,7,0,0
944,99,92,8,0,0
948,99,92,5,0,0
952,99,92,9,0,0
956,99,92,10,0,0
960,99,92,6,0,0
964,99,92,21,0,0
968,99,92,6,0,0
972,99,92,18,0,0
976,99,92,13,0,0
980,99,92,10,0,0
984,99,92,0,0,0
988,99,nan,0,0,0
992,99,98,0,0,0
996,99,98,5,0,0
1000,99,98,33,0,0
1004,99,98,3,0,0
1008,99,98,6,0,0
1012,99,98,0,0,0
1016,99,nan,0,0,0
1020,99,98,13,0,0
1024,99,98,12,0,0
1028,99,98,23,0,0
1032,99,98,1,0,0
1036,99,98,7,0,0
1040,99,98,13,0,0
1044,99,98,13,0,0
1048,99,98,8,0,0
1052,99,98,5,0,0
1056,99,98,0,0,0
1060,99,95,7,0,0
1064,99,95,12,0,0
1068,99,95,3,0,0
1072,99,95,9,0,0
1076,99,95,2,0,0
1080,99,95,7,0,0
1084,99,95,2,0,0
1088,99,95,0,0,0
1092,99,95,0,0,0
1096,99,95,0,0,0
1100,99,95,1,0,0
1104,99,95,1,0,0
1108,99,95,0,0,0
1112,99,95,0,0,0
1116,99,95,0,0,0
1120,99,95,2,0,0
1124,99,95,1,0,0
1128,99,95,0,0,0
1132,99,95,0,0,0
1136,99,95,0,0,0
1140,99,95,0,0,0
1144,99,95,0,0,0
1148,99,95,3,0,0
1152,99,95,2,0,0
1156,99,95,0,0,0
1160,99,95,0,0,0
1164,99,95,1,0,0
1168,99,95,0,0,0
1172,255,nan,33,0,0
1176,255,nan,1,0,0
1180,255,nan,0,0,0
