i,Time,Data
0,0.0,66.0
1,0.02,60.0
2,0.04,65456.0
3,0.06,65472.0
4,0.08,65476.0
5,0.1,65.0
6,0.12,60.0
7,0.14,188.0
8,0.16,65480.0
9,0.18,65472.0
10,0.2,65.0
11,0.22,60.0
12,0.24,65472.0
13,0.26,65472.0
14,0.28,65472.0
15,0.3,65.0
16,0.32,59.0
17,0.34,65476.0
18,0.36,65472.0
19,0.38,65476.0
20,0.4,66.0
21,0.42,60.0
22,0.44,65440.0
23,0.46,65472.0
24,0.48,65472.0
25,0.5,65.0
26,0.52,63.0
27,0.54,60.0
28,0.56,65488.0
29,0.58,65480.0
30,0.6,66.0
31,0.62,60.0
32,0.64,65464.0
33,0.66,65472.0
34,0.68,65488.0
35,0.7,66.0
36,0.72,62.0
37,0.74,60.0
38,0.76,65476.0
39,0.78,65472.0
40,0.8,65.0
41,0.82,63.0
42,0.84,61.0
43,0.86,65472.0
44,0.88,65472.0
45,0.9,66.0
46,0.92,59.0
47,0.94,61.0
48,0.96,65472.0
49,0.98,65472.0
50,1.0,65.0
51,1.02,61.0
52,1.04,61.0
53,1.06,65472.0
54,1.08,65472.0
55,1.1,68.0
56,1.12,63.0
57,1.14,59.0
58,1.16,65472.0
59,1.18,65472.0
60,1.2,65.0
61,1.22,63.0
62,1.24,65464.0
63,1.26,65472.0
64,1.28,65480.0
65,1.3,67.0
66,1.32,63.0
67,1.34,60.0
68,1.36,65472.0
69,1.38,65472.0
70,1.4,65.0
71,1.42,62.0
72,1.44,60.0
73,1.46,65472.0
74,1.48,65480.0
75,1.5,66.0
76,1.52,63.0
77,1.54,61.0
78,1.56,65472.0
79,1.58,65480.0
80,1.6,67.0
81,1.62,61.0
82,1.64,60.0
83,1.66,65488.0
84,1.68,65472.0
85,1.7,65.0
86,1.72,63.0
87,1.74,62.0
88,1.76,65472.0
89,1.78,65472.0
90,1.8,68.0
91,1.82,62.0
92,1.84,61.0
93,1.86,65480.0
94,1.88,65480.0
95,1.9,68.0
96,1.92,62.0
97,1.94,61.0
98,1.96,65472.0
99,1.98,65476.0
100,2.0,66.0
101,2.02,63.0
102,2.04,60.0
103,2.06,65472.0
104,2.08,65472.0
105,2.1,66.0
106,2.12,63.0
107,2.14,60.0
108,2.16,65472.0
109,2.18,65480.0
110,2.2,65.0
111,2.22,62.0
112,2.24,60.0
113,2.26,65480.0
114,2.28,65476.0
115,2.3,66.0
116,2.32,61.0
117,2.34,61.0
118,2.36,65472.0
119,2.38,65472.0
120,2.4,68.0
121,2.42,64.0
122,2.44,61.0
123,2.46,65472.0
124,2.48,65484.0
125,2.5,67.0
126,2.52,63.0
127,2.54,61.0
128,2.56,65456.0
129,2.58,65472.0
130,2.6,67.0
131,2.62,62.0
132,2.64,61.0
133,2.66,65472.0
134,2.68,65488.0
135,2.7,67.0
136,2.72,62.0
137,2.74,60.0
138,2.76,65472.0
139,2.78,65480.0
140,2.8,66.0
141,2.82,62.0
142,2.84,59.0
143,2.86,65472.0
144,2.88,65472.0
145,2.9,67.0
146,2.92,61.0
147,2.94,62.0
148,2.96,65472.0
149,2.98,65472.0
150,3.0,68.0
151,3.02,63.0
152,3.04,59.0
153,3.06,65472.0
154,3.08,65476.0
155,3.1,66.0
156,3.12,64.0
157,3.14,61.0
158,3.16,65480.0
159,3.18,65480.0
160,3.2,68.0
161,3.22,63.0
162,3.24,61.0
163,3.26,65472.0
164,3.28,65484.0
165,3.3,65472.0
166,3.32,61.0
167,3.34,65476.0
168,3.36,65472.0
169,3.38,65480.0
170,3.4,70.0
171,3.42,63.0
172,3.44,61.0
173,3.46,65472.0
174,3.48,65472.0
175,3.5,65.0
176,3.52,61.0
177,3.54,60.0
178,3.56,65480.0
179,3.58,65476.0
180,3.6,65.0
181,3.62,62.0
182,3.64,61.0
183,3.66,60.0
184,3.68,64.0
185,3.7,62.0
186,3.72,61.0
187,3.74,60.0
188,3.76,65476.0
189,3.78,65472.0
190,3.8,65480.0
191,3.82,60.0
192,3.84,65472.0
193,3.86,65480.0
194,3.88,65484.0
195,3.9,65476.0
196,3.92,61.0
197,3.94,65448.0
198,3.96,65480.0
199,3.98,65480.0
200,4.0,67.0
201,4.02,63.0
202,4.04,60.0
203,4.06,65472.0
204,4.08,65480.0
205,4.1,66.0
206,4.12,62.0
207,4.14,60.0
208,4.16,65480.0
209,4.18,65492.0
210,4.2,65472.0
211,4.22,61.0
212,4.24,61.0
213,4.26,65472.0
214,4.28,65472.0
215,4.3,67.0
216,4.32,63.0
217,4.34,59.0
218,4.36,65472.0
219,4.38,65484.0
220,4.4,65.0
221,4.42,62.0
222,4.44,61.0
223,4.46,60.0
224,4.48,65472.0
